CMDLINE python3 timeit_multiply.py
MEM 0.210938 1537405545.6105
MEM 4.441406 1537405545.6225
MEM 7.882812 1537405545.6352
MEM 9.539062 1537405545.6479
MEM 10.761719 1537405545.6607
MEM 10.761719 1537405545.6721
MEM 10.761719 1537405545.6839
MEM 10.761719 1537405545.6966
MEM 10.765625 1537405545.7088
MEM 10.765625 1537405545.7216
MEM 10.765625 1537405545.7343
MEM 10.765625 1537405545.7471
MEM 10.765625 1537405545.7588
MEM 10.765625 1537405545.7690
MEM 10.765625 1537405545.7817
MEM 10.765625 1537405545.7943
MEM 10.765625 1537405545.8059
MEM 10.765625 1537405545.8185
MEM 10.765625 1537405545.8311
MEM 10.765625 1537405545.8418
MEM 10.765625 1537405545.8544
MEM 10.765625 1537405545.8670
MEM 10.765625 1537405545.8797
MEM 10.765625 1537405545.8917
MEM 10.765625 1537405545.9043
MEM 10.765625 1537405545.9170
MEM 10.765625 1537405545.9286
MEM 10.765625 1537405545.9411
MEM 10.765625 1537405545.9538
MEM 10.765625 1537405545.9664
MEM 10.765625 1537405545.9778
MEM 10.765625 1537405545.9886
MEM 10.765625 1537405546.0012
MEM 10.765625 1537405546.0116
MEM 10.765625 1537405546.0240
MEM 10.765625 1537405546.0366
MEM 10.765625 1537405546.0478
MEM 10.765625 1537405546.0604
MEM 10.765625 1537405546.0721
MEM 10.765625 1537405546.0826
MEM 10.765625 1537405546.0929
MEM 10.765625 1537405546.1056
MEM 10.765625 1537405546.1157
MEM 10.765625 1537405546.1284
MEM 10.765625 1537405546.1410
MEM 10.765625 1537405546.1515
MEM 10.765625 1537405546.1642
MEM 10.765625 1537405546.1743
MEM 10.765625 1537405546.1869
MEM 10.765625 1537405546.1996
MEM 10.765625 1537405546.2110
MEM 10.765625 1537405546.2217
MEM 10.765625 1537405546.2344
MEM 10.765625 1537405546.2454
MEM 10.765625 1537405546.2579
MEM 10.765625 1537405546.2681
MEM 10.765625 1537405546.2788
MEM 10.765625 1537405546.2911
MEM 10.765625 1537405546.3040
MEM 10.765625 1537405546.3161
MEM 10.765625 1537405546.3288
MEM 10.765625 1537405546.3414
MEM 10.765625 1537405546.3529
MEM 10.765625 1537405546.3656
MEM 10.765625 1537405546.3782
MEM 10.765625 1537405546.3908
MEM 10.765625 1537405546.4034
MEM 10.765625 1537405546.4160
MEM 10.765625 1537405546.4286
MEM 10.765625 1537405546.4413
MEM 10.765625 1537405546.4540
MEM 10.765625 1537405546.4666
